keyword,type,author,handle,bio,text,date,sentiment,score
Greenhouse Effect,original,PhET Interactive Simulations,phetsims.bsky.social,,Sims + STEAM = Success. Learn about the use of whole-class instructional strategies and digital “clickers” to ask #thought-provoking questions while using a simulation about the #greenhouse effect and climate change. #teacherPD #digitalClickers,2025-11-24,positive,0.2333333333333333
Greenhouse Effect,original,ArneBab,arnebab.rollenspiel.social.ap.brid.gy,,"Aus gegebenem Anlass: ja, mehr CO₂ in der Atmosphäre sorgt wirklich für globale Erwärmung:

https://www.draketo.de/wissen/greenhouse-effect-calculated
https://www.draketo.de/wissen/greenhouse-effect-calculated.pdf

Da nur die übermäßig vereinfachten Schickt-Erklärungen leicht zu finden waren und […]",2025-11-24,neutral,0.0
Greenhouse Effect,original,All Our Yesterdays,allouryesterdays.bsky.social,,It’s from this- independent energy experts contributing to the “what can we do?” debates,2025-11-24,neutral,0.0
Greenhouse Effect,original,John Burden,shapelessspirit.bsky.social,,"I was told in 86 by an Astronomy professor that the Greenhouse effect, if it had started, and this mild man got very angry and said he believed it had...  we end up with an acid environment, like Venus.  Fighting it is important, because all life is important, plants and animals.  But we are dying.",2025-11-24,positive,0.12083333333333333
Greenhouse Effect,original,Astronomy Bot,astronomybot.bsky.social,,"Venus boasts an atmosphere so dense, it creates a runaway greenhouse effect, making its surface hotter than Mercury, despite being farther from the Sun. This thick atmosphere is primarily composed of carbon dioxide, with clouds made of sulfuric acid. The immense pressure at the surface is equival...",2025-11-24,neutral,0.03333333333333335
Greenhouse Effect,original,Dr Tom Harris,drtomharris.bsky.social,,"These aerosol particles cause clouds to form with smaller, more numerous droplets, making them brighter and longer lasting, thus more reflective of sunlight. This creates a cooling effect, which has historically masked about one-third of the warming caused by greenhouse gases.",2025-11-24,positive,0.16666666666666666
Greenhouse Effect,original,Ketan Joshi,ketanjoshi.co,,"It's funny to have to make this case but tbqh we don't make it enough: human efforts to counter fossil fuel use have had *at least some* effect on total greenhouse gas emissions since the signing of the Paris Agreement in 2015, and there's some evidence to back up this position

A lil thread 🧵",2025-11-24,neutral,-0.008333333333333331
Greenhouse Effect,original,💧WOWBAGGER 🇵🇸 Israel Is Evil 🇵🇸,eschertology.bsky.social,,not just civilisation - all life.  to carry on as we were would lead to a runaway greenhouse effect and Earth really becoming a twin to Venus,2025-11-24,positive,0.45
Greenhouse Effect,original,Bus Aficionada,talkinghat.bsky.social,,"They just made a joke about the ozone layer AND how “the greenhouse effect” is supposed to make it warmer than it is today, it’s very cold in Chicago",2025-11-24,negative,-0.78
Greenhouse Effect,original,YARDCG,yardcg.bsky.social,,"Of course they agree that *in general*, reducing aerosols accelerates warming - it's not like it was a big secret in the field.

They disagree it was the ONLY cause, or that it's strong enough to necessitate his claims of v. high future temperatures.

agupubs.onlinelibrary.wiley.com/doi/10.1029/...",2025-11-24,neutral,0.03041666666666667
Greenhouse Effect,original,Jean,juancarlito40.bsky.social,,,2025-11-23,neutral,0.0
Greenhouse Effect,original,DietsKw,dietskw.bsky.social,,The physics of the greenhouse effect has been straight forward and clear from the very beginning.,2025-11-23,positive,0.16666666666666666
Greenhouse Effect,original,Zach Rabiroff,zachrabiroff.com,,"For reasons that may or may not be nefarious in nature, the change in terminology for the phenomenon has undergone a steady downgrade in effectiveness since the 80's. We need to go back to Greenhouse Effect.",2025-11-23,neutral,0.08333333333333333
Greenhouse Effect,original,The Innovation,theinnovation.bsky.social,,"Dual crisis of plastic pollution and greenhouse effect? This study analyzes global plastic pollution, finds ways to cut plastic and carbon, and offers key references for global plastic governance!
doi.org/10.59717/j.x...
#geoscience #plasticpollution #greenhousegas",2025-11-23,neutral,0.025
Greenhouse Effect,original,The Real Dezaad,dezaad.bsky.social,,There isn't going to be a runaway greenhouse effect and humans aren't going to go extinct - and climate experts don't say these things. They do say it will lead to exceedingly rough conditions for humans and will harm us enough that we will wish we had done differently.,2025-11-22,negative,-0.125
Greenhouse Effect,original,asparagusnextleft,asparagusnextleft.bsky.social,,"And we're the species that is causing the planet to become an unlivable rock orbiting the sun with a runaway greenhouse effect similar to the on on venus.
Well done, humanity, you cunts.",2025-11-22,neutral,0.0
Greenhouse Effect,original,Frank Wunderlich-Pfeiffer,frankwunderli13.bsky.social,,"That was the sort of problem that led Max Planck to a sufficient degree of madness in 1900 to just say: To hell with your arguments over wave or particle, the math makes sense, deal with it.

And that's why Arrhenius had no chance to correctly describe the physics of the greenhouse effect in 1896.",2025-11-22,neutral,0.0
Greenhouse Effect,original,Astronomy Bot,astronomybot.bsky.social,,"In late 2025, astronomers analyzing data from the Kepler Space Telescope's successor mission reported the detection of an exoplanet with an atmosphere that shows evidence of a ""runaway greenhouse effect."" This planet, designated ""TOI-1452 b,"" orbits its star at a distance that would typically pla...",2025-11-22,negative,-0.23333333333333334
Greenhouse Effect,original,AD Mitchell,ad-mitchell.bsky.social,,"“The trouble with the plain, ordinary greenhouse effect as an issue is that it’s been flogged to death, and nobody cares any more.” 

1990

www.latimes.com/archives/la-...",2025-11-21,neutral,-0.041071428571428564
Greenhouse Effect,original,City Atlas,cityatlas.bsky.social,,,2025-11-21,neutral,0.0
Greenhouse Effect,original,Eric Doherty,ericdoherty.bsky.social,,BCAA propaganda 1998.,2025-11-21,neutral,-0.1
Greenhouse Effect,original,💧A mealworm of sorts,cognitiveverb.bsky.social,,"“Shall I compare thee to a roll of duct tape?
Thou art more adhesive & more robust:
Climate change doth transition earth towards moonscape 
& the lithosphere hath all too short a crust
Sometime too hot the greenhouse effect doth warm
& often is geoengineering dimm'd;……",2025-11-20,positive,0.37
Greenhouse Effect,original,Sentient,sentientmedia.org,,"What we eat has an effect on the environment.

In fact, about about one-third of all global greenhouse gas emissions come from food, according to a study published in @nature.com, and the majority of those emissions are driven by meat.",2025-11-20,neutral,0.0
Greenhouse Effect,original,,almamexi.bsky.social,,"In 1986, Scientist report the rising of the Earth's temperature by one degree F in the past 123 years. Excessive atmospheric pollutants are thought to be the cause of this warming trend, known as the greenhouse effect. ",2025-11-20,negative,-0.16666666666666666
